split,representation,censor_policy,feature,bin_center_THz,n,spearman_rho
train,total_shape,limit,totalDOS_000.00_001.00THz,0.5,214,0.4038246551723739
train,total_shape,limit,totalDOS_001.00_002.00THz,1.5,214,0.4674867472267246
train,total_shape,limit,totalDOS_002.00_003.00THz,2.5,214,0.45484658916597076
train,total_shape,limit,totalDOS_003.00_004.00THz,3.5,214,0.36673672956785514
train,total_shape,limit,totalDOS_004.00_005.00THz,4.5,214,0.20617553991327398
train,total_shape,limit,totalDOS_005.00_006.00THz,5.5,214,0.33410254065221723
train,total_shape,limit,totalDOS_006.00_007.00THz,6.5,214,0.3775518970376631
train,total_shape,limit,totalDOS_007.00_008.00THz,7.5,214,0.3700105629743723
train,total_shape,limit,totalDOS_008.00_009.00THz,8.5,214,0.12010508739043818
train,total_shape,limit,totalDOS_009.00_010.00THz,9.5,214,0.12083287820012051
train,total_shape,limit,totalDOS_010.00_011.00THz,10.5,214,0.16986502721909763
train,total_shape,limit,totalDOS_011.00_012.00THz,11.5,214,-0.009792719139730984
train,total_shape,limit,totalDOS_012.00_013.00THz,12.5,214,-0.12383805714600803
train,total_shape,limit,totalDOS_013.00_014.00THz,13.5,214,-0.3276875853382044
train,total_shape,limit,totalDOS_014.00_015.00THz,14.5,214,-0.42212865926365734
train,total_shape,limit,totalDOS_015.00_016.00THz,15.5,214,-0.1413451416004256
train,total_shape,limit,totalDOS_016.00_017.00THz,16.5,214,0.17621974008028235
train,total_shape,limit,totalDOS_017.00_018.00THz,17.5,214,-0.22646908687683828
train,total_shape,limit,totalDOS_018.00_019.00THz,18.5,214,-0.45520435021654976
train,total_shape,limit,totalDOS_019.00_020.00THz,19.5,214,-0.34826192103630227
train,total_shape,limit,totalDOS_020.00_021.00THz,20.5,214,-0.468207902552596
train,total_shape,limit,totalDOS_021.00_022.00THz,21.5,214,-0.40416751373275467
train,total_shape,limit,totalDOS_022.00_023.00THz,22.5,214,-0.41095235301767297
train,total_shape,limit,totalDOS_023.00_024.00THz,23.5,214,-0.43051896869383965
train,total_shape,limit,totalDOS_024.00_025.00THz,24.5,214,-0.4385742506632813
train,total_shape,limit,totalDOS_025.00_026.00THz,25.5,214,-0.29273532188716667
train,total_shape,limit,totalDOS_026.00_027.00THz,26.5,214,-0.3059880046531256
train,total_shape,limit,totalDOS_027.00_028.00THz,27.5,214,-0.19498474982286682
train,total_shape,limit,totalDOS_028.00_029.00THz,28.5,214,-0.1917827785397025
train,total_shape,limit,totalDOS_029.00_030.00THz,29.5,214,-0.1821597922214889
train,total_shape,limit,totalDOS_030.00_031.00THz,30.5,214,-0.1269564397359223
train,total_shape,limit,totalDOS_031.00_032.00THz,31.5,214,-0.22089166148678907
train,total_shape,limit,totalDOS_032.00_033.00THz,32.5,214,-0.19352491594671498
train,total_shape,limit,totalDOS_033.00_034.00THz,33.5,214,-0.10451111756053577
train,total_shape,limit,totalDOS_034.00_035.00THz,34.5,214,-0.0208721806755126
train,total_shape,limit,totalDOS_035.00_036.00THz,35.5,214,-0.016425676449176776
train,total_shape,limit,totalDOS_036.00_037.00THz,36.5,214,0.0547618456095784
train,total_shape,limit,totalDOS_037.00_038.00THz,37.5,214,0.030834774048055857
train,total_shape,limit,totalDOS_038.00_039.00THz,38.5,214,-0.13722073848417035
train,total_shape,limit,totalDOS_039.00_040.00THz,39.5,214,-0.11230746591801484
train,total_shape,limit,totalDOS_040.00_041.00THz,40.5,214,-0.1127787654535748
train,total_shape,limit,totalDOS_041.00_042.00THz,41.5,214,-0.11091927455872913
train,total_shape,limit,totalDOS_042.00_043.00THz,42.5,214,-0.11443631403784764
train,total_shape,limit,totalDOS_043.00_044.00THz,43.5,214,-0.11460019918244244
train,total_shape,limit,totalDOS_044.00_045.00THz,44.5,214,-0.0605602433604821
train,total_shape,limit,totalDOS_045.00_046.00THz,45.5,214,-0.08939110708688787
train,total_shape,limit,totalDOS_046.00_047.00THz,46.5,214,-0.03939951316048853
train,total_shape,limit,totalDOS_048.00_049.00THz,48.5,214,-0.03939951316048853
train,total_shape,limit,totalDOS_049.00_050.00THz,49.5,214,-0.10258667805878177
train,total_shape,limit,totalDOS_050.00_051.00THz,50.5,214,-0.11153062407098518
train,total_shape,limit,totalDOS_051.00_052.00THz,51.5,214,-0.08798005882994271
train,total_shape,limit,totalDOS_052.00_053.00THz,52.5,214,-0.0715382454542864
train,total_shape,limit,totalDOS_053.00_054.00THz,53.5,214,-0.07162646443953473
train,total_shape,limit,totalDOS_054.00_055.00THz,54.5,214,-0.05715704021873688
train,total_shape,limit,totalDOS_055.00_056.00THz,55.5,214,-0.05715704021873688
train,total_shape,limit,totalDOS_056.00_057.00THz,56.5,214,-0.05715704021873688
train,total_shape,limit,totalDOS_086.00_087.00THz,86.5,214,0.043838894925050616
train,total_shape,limit,totalDOS_087.00_088.00THz,87.5,214,0.043838894925050616
train,total_shape,limit,totalDOS_090.00_091.00THz,90.5,214,0.043838894925050616
train,total_shape,limit,totalDOS_091.00_092.00THz,91.5,214,0.043838894925050616
train,total_shape,half_limit,totalDOS_000.00_001.00THz,0.5,214,0.4025569293453571
train,total_shape,half_limit,totalDOS_001.00_002.00THz,1.5,214,0.46653013276500077
train,total_shape,half_limit,totalDOS_002.00_003.00THz,2.5,214,0.45418070843058844
train,total_shape,half_limit,totalDOS_003.00_004.00THz,3.5,214,0.367716360970157
train,total_shape,half_limit,totalDOS_004.00_005.00THz,4.5,214,0.20669665208527166
train,total_shape,half_limit,totalDOS_005.00_006.00THz,5.5,214,0.3344304969084855
train,total_shape,half_limit,totalDOS_006.00_007.00THz,6.5,214,0.378323634371679
train,total_shape,half_limit,totalDOS_007.00_008.00THz,7.5,214,0.3693617257401089
train,total_shape,half_limit,totalDOS_008.00_009.00THz,8.5,214,0.11915111742492758
train,total_shape,half_limit,totalDOS_009.00_010.00THz,9.5,214,0.11980963087529928
train,total_shape,half_limit,totalDOS_010.00_011.00THz,10.5,214,0.16944561819638537
train,total_shape,half_limit,totalDOS_011.00_012.00THz,11.5,214,-0.010826586951639577
train,total_shape,half_limit,totalDOS_012.00_013.00THz,12.5,214,-0.12450895706031212
train,total_shape,half_limit,totalDOS_013.00_014.00THz,13.5,214,-0.3268629853396923
train,total_shape,half_limit,totalDOS_014.00_015.00THz,14.5,214,-0.42155914546238765
train,total_shape,half_limit,totalDOS_015.00_016.00THz,15.5,214,-0.13992526888000795
train,total_shape,half_limit,totalDOS_016.00_017.00THz,16.5,214,0.17674668663644133
train,total_shape,half_limit,totalDOS_017.00_018.00THz,17.5,214,-0.22584556101998604
train,total_shape,half_limit,totalDOS_018.00_019.00THz,18.5,214,-0.4553351862869702
train,total_shape,half_limit,totalDOS_019.00_020.00THz,19.5,214,-0.3487367295746682
train,total_shape,half_limit,totalDOS_020.00_021.00THz,20.5,214,-0.46939982341571196
train,total_shape,half_limit,totalDOS_021.00_022.00THz,21.5,214,-0.40524741680268817
train,total_shape,half_limit,totalDOS_022.00_023.00THz,22.5,214,-0.41212619291416147
train,total_shape,half_limit,totalDOS_023.00_024.00THz,23.5,214,-0.42966241228198815
train,total_shape,half_limit,totalDOS_024.00_025.00THz,24.5,214,-0.43714587685502365
train,total_shape,half_limit,totalDOS_025.00_026.00THz,25.5,214,-0.29158315357730563
train,total_shape,half_limit,totalDOS_026.00_027.00THz,26.5,214,-0.3050754158697801
train,total_shape,half_limit,totalDOS_027.00_028.00THz,27.5,214,-0.19397736332735585
train,total_shape,half_limit,totalDOS_028.00_029.00THz,28.5,214,-0.1910063139969533
train,total_shape,half_limit,totalDOS_029.00_030.00THz,29.5,214,-0.18281392701089416
train,total_shape,half_limit,totalDOS_030.00_031.00THz,30.5,214,-0.12756078369424856
train,total_shape,half_limit,totalDOS_031.00_032.00THz,31.5,214,-0.22158917273880785
train,total_shape,half_limit,totalDOS_032.00_033.00THz,32.5,214,-0.1943289394865163
train,total_shape,half_limit,totalDOS_033.00_034.00THz,33.5,214,-0.10512464862244343
train,total_shape,half_limit,totalDOS_034.00_035.00THz,34.5,214,-0.021246374137541383
train,total_shape,half_limit,totalDOS_035.00_036.00THz,35.5,214,-0.016823955885122737
train,total_shape,half_limit,totalDOS_036.00_037.00THz,36.5,214,0.05453668806514274
train,total_shape,half_limit,totalDOS_037.00_038.00THz,37.5,214,0.03068527171628926
train,total_shape,half_limit,totalDOS_038.00_039.00THz,38.5,214,-0.13742868261670022
train,total_shape,half_limit,totalDOS_039.00_040.00THz,39.5,214,-0.11230939978480878
train,total_shape,half_limit,totalDOS_040.00_041.00THz,40.5,214,-0.11276566776665418
train,total_shape,half_limit,totalDOS_041.00_042.00THz,41.5,214,-0.11090846429125524
train,total_shape,half_limit,totalDOS_042.00_043.00THz,42.5,214,-0.11442502998916397
train,total_shape,half_limit,totalDOS_043.00_044.00THz,43.5,214,-0.11459358439317435
train,total_shape,half_limit,totalDOS_044.00_045.00THz,44.5,214,-0.06056253377428847
train,total_shape,half_limit,totalDOS_045.00_046.00THz,45.5,214,-0.08938673251846069
train,total_shape,half_limit,totalDOS_046.00_047.00THz,46.5,214,-0.039396434151419094
train,total_shape,half_limit,totalDOS_048.00_049.00THz,48.5,214,-0.039396434151419094
train,total_shape,half_limit,totalDOS_049.00_050.00THz,49.5,214,-0.10194094733656246
train,total_shape,half_limit,totalDOS_050.00_051.00THz,50.5,214,-0.11096049928836961
train,total_shape,half_limit,totalDOS_051.00_052.00THz,51.5,214,-0.08797318332876677
train,total_shape,half_limit,totalDOS_052.00_053.00THz,52.5,214,-0.07074977254628918
train,total_shape,half_limit,totalDOS_053.00_054.00THz,53.5,214,-0.07083063362977499
train,total_shape,half_limit,totalDOS_054.00_055.00THz,54.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_055.00_056.00THz,55.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_056.00_057.00THz,56.5,214,-0.056042814778779274
train,total_shape,half_limit,totalDOS_086.00_087.00THz,86.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_087.00_088.00THz,87.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_090.00_091.00THz,90.5,214,0.043835468985381806
train,total_shape,half_limit,totalDOS_091.00_092.00THz,91.5,214,0.043835468985381806
train,total_shape,exclude,totalDOS_000.00_001.00THz,0.5,191,0.47801728443823266
train,total_shape,exclude,totalDOS_001.00_002.00THz,1.5,191,0.4857398241273791
train,total_shape,exclude,totalDOS_002.00_003.00THz,2.5,191,0.46735143067041734
train,total_shape,exclude,totalDOS_003.00_004.00THz,3.5,191,0.3584651710725697
train,total_shape,exclude,totalDOS_004.00_005.00THz,4.5,191,0.25213472077416305
train,total_shape,exclude,totalDOS_005.00_006.00THz,5.5,191,0.3798106565559062
train,total_shape,exclude,totalDOS_006.00_007.00THz,6.5,191,0.3765435607061491
train,total_shape,exclude,totalDOS_007.00_008.00THz,7.5,191,0.3282983545705428
train,total_shape,exclude,totalDOS_008.00_009.00THz,8.5,191,0.0965765244443744
train,total_shape,exclude,totalDOS_009.00_010.00THz,9.5,191,0.06717266179656065
train,total_shape,exclude,totalDOS_010.00_011.00THz,10.5,191,0.1122549678119356
train,total_shape,exclude,totalDOS_011.00_012.00THz,11.5,191,-0.02518096504360157
train,total_shape,exclude,totalDOS_012.00_013.00THz,12.5,191,-0.1326280927204472
train,total_shape,exclude,totalDOS_013.00_014.00THz,13.5,191,-0.31564273598841375
train,total_shape,exclude,totalDOS_014.00_015.00THz,14.5,191,-0.3854000241291375
train,total_shape,exclude,totalDOS_015.00_016.00THz,15.5,191,-0.1755064272143205
train,total_shape,exclude,totalDOS_016.00_017.00THz,16.5,191,0.133193356058326
train,total_shape,exclude,totalDOS_017.00_018.00THz,17.5,191,-0.21025121091598123
train,total_shape,exclude,totalDOS_018.00_019.00THz,18.5,191,-0.4479999039370961
train,total_shape,exclude,totalDOS_019.00_020.00THz,19.5,191,-0.3712444454653718
train,total_shape,exclude,totalDOS_020.00_021.00THz,20.5,191,-0.44532814966607
train,total_shape,exclude,totalDOS_021.00_022.00THz,21.5,191,-0.3770832695103803
train,total_shape,exclude,totalDOS_022.00_023.00THz,22.5,191,-0.3902460472448787
train,total_shape,exclude,totalDOS_023.00_024.00THz,23.5,191,-0.41934636224893185
train,total_shape,exclude,totalDOS_024.00_025.00THz,24.5,191,-0.4280221196979384
train,total_shape,exclude,totalDOS_025.00_026.00THz,25.5,191,-0.2565259888327991
train,total_shape,exclude,totalDOS_026.00_027.00THz,26.5,191,-0.22510930595094558
train,total_shape,exclude,totalDOS_027.00_028.00THz,27.5,191,-0.14550190696524848
train,total_shape,exclude,totalDOS_028.00_029.00THz,28.5,191,-0.1505022713017709
train,total_shape,exclude,totalDOS_029.00_030.00THz,29.5,191,-0.15269846908573592
train,total_shape,exclude,totalDOS_030.00_031.00THz,30.5,191,-0.0981170497006035
train,total_shape,exclude,totalDOS_031.00_032.00THz,31.5,191,-0.18846584779996434
train,total_shape,exclude,totalDOS_032.00_033.00THz,32.5,191,-0.12979943989778822
train,total_shape,exclude,totalDOS_033.00_034.00THz,33.5,191,-0.055746690717507874
train,total_shape,exclude,totalDOS_034.00_035.00THz,34.5,191,-0.005715882281988989
train,total_shape,exclude,totalDOS_035.00_036.00THz,35.5,191,0.008449569996485558
train,total_shape,exclude,totalDOS_036.00_037.00THz,36.5,191,0.07218598046048304
train,total_shape,exclude,totalDOS_037.00_038.00THz,37.5,191,0.05388860163471862
train,total_shape,exclude,totalDOS_038.00_039.00THz,38.5,191,-0.11096312132748636
train,total_shape,exclude,totalDOS_039.00_040.00THz,39.5,191,-0.11487049274347949
train,total_shape,exclude,totalDOS_040.00_041.00THz,40.5,191,-0.11610341631378489
train,total_shape,exclude,totalDOS_041.00_042.00THz,41.5,191,-0.11412015289387444
train,total_shape,exclude,totalDOS_042.00_043.00THz,42.5,191,-0.11112073660213553
train,total_shape,exclude,totalDOS_043.00_044.00THz,43.5,191,-0.11112073660213553
train,total_shape,exclude,totalDOS_044.00_045.00THz,44.5,191,-0.05384705297900841
train,total_shape,exclude,totalDOS_045.00_046.00THz,45.5,191,-0.08392637071241085
train,total_shape,exclude,totalDOS_046.00_047.00THz,46.5,191,-0.06184231827784784
train,total_shape,exclude,totalDOS_048.00_049.00THz,48.5,191,-0.06184231827784784
train,total_shape,exclude,totalDOS_049.00_050.00THz,49.5,191,-0.1465058038467001
train,total_shape,exclude,totalDOS_050.00_051.00THz,50.5,191,-0.1615481024641663
train,total_shape,exclude,totalDOS_051.00_052.00THz,51.5,191,-0.1248458907261407
train,total_shape,exclude,totalDOS_052.00_053.00THz,52.5,191,-0.10535856172225598
train,total_shape,exclude,totalDOS_053.00_054.00THz,53.5,191,-0.10546601065410696
train,total_shape,exclude,totalDOS_054.00_055.00THz,54.5,191,-0.08157922836652269
train,total_shape,exclude,totalDOS_055.00_056.00THz,55.5,191,-0.08157922836652269
train,total_shape,exclude,totalDOS_056.00_057.00THz,56.5,191,-0.08157922836652269
train,total_shape,exclude,totalDOS_086.00_087.00THz,86.5,191,0.03684223216552637
train,total_shape,exclude,totalDOS_087.00_088.00THz,87.5,191,0.03684223216552637
train,total_shape,exclude,totalDOS_090.00_091.00THz,90.5,191,0.03684223216552637
train,total_shape,exclude,totalDOS_091.00_092.00THz,91.5,191,0.03684223216552637
train,li_shape,limit,LiPDOS_000.00_001.00THz,0.5,214,0.48299150951818093
train,li_shape,limit,LiPDOS_001.00_002.00THz,1.5,214,0.5829573754629146
train,li_shape,limit,LiPDOS_002.00_003.00THz,2.5,214,0.5541967734914024
train,li_shape,limit,LiPDOS_003.00_004.00THz,3.5,214,0.4776102683799237
train,li_shape,limit,LiPDOS_004.00_005.00THz,4.5,214,0.45476143519076384
train,li_shape,limit,LiPDOS_005.00_006.00THz,5.5,214,0.5369533998212606
train,li_shape,limit,LiPDOS_006.00_007.00THz,6.5,214,0.44152336144798143
train,li_shape,limit,LiPDOS_007.00_008.00THz,7.5,214,0.20333850351627156
train,li_shape,limit,LiPDOS_008.00_009.00THz,8.5,214,0.06079810044217481
train,li_shape,limit,LiPDOS_009.00_010.00THz,9.5,214,-0.027755294969248934
train,li_shape,limit,LiPDOS_010.00_011.00THz,10.5,214,0.051069718238676974
train,li_shape,limit,LiPDOS_011.00_012.00THz,11.5,214,-0.15318116183020047
train,li_shape,limit,LiPDOS_012.00_013.00THz,12.5,214,-0.2415424724553575
train,li_shape,limit,LiPDOS_013.00_014.00THz,13.5,214,-0.21639784355283656
train,li_shape,limit,LiPDOS_014.00_015.00THz,14.5,214,-0.41608327557454067
train,li_shape,limit,LiPDOS_015.00_016.00THz,15.5,214,-0.31032556592432137
train,li_shape,limit,LiPDOS_016.00_017.00THz,16.5,214,-0.17449691026052114
train,li_shape,limit,LiPDOS_017.00_018.00THz,17.5,214,-0.24391926826222457
train,li_shape,limit,LiPDOS_018.00_019.00THz,18.5,214,-0.41278983134929437
train,li_shape,limit,LiPDOS_019.00_020.00THz,19.5,214,-0.2991109751438386
train,li_shape,limit,LiPDOS_020.00_021.00THz,20.5,214,-0.37423741105886743
train,li_shape,limit,LiPDOS_021.00_022.00THz,21.5,214,-0.3416475323956868
train,li_shape,limit,LiPDOS_022.00_023.00THz,22.5,214,-0.37027093720859827
train,li_shape,limit,LiPDOS_023.00_024.00THz,23.5,214,-0.4293821089838477
train,li_shape,limit,LiPDOS_024.00_025.00THz,24.5,214,-0.4391011742565284
train,li_shape,limit,LiPDOS_025.00_026.00THz,25.5,214,-0.3007957424038692
train,li_shape,limit,LiPDOS_026.00_027.00THz,26.5,214,-0.3300745410840812
train,li_shape,limit,LiPDOS_027.00_028.00THz,27.5,214,-0.2522224169960644
train,li_shape,limit,LiPDOS_028.00_029.00THz,28.5,214,-0.22503916576305072
train,li_shape,limit,LiPDOS_029.00_030.00THz,29.5,214,-0.1801537104971978
train,li_shape,limit,LiPDOS_030.00_031.00THz,30.5,214,-0.14430288571381922
train,li_shape,limit,LiPDOS_031.00_032.00THz,31.5,214,-0.22310291066015536
train,li_shape,limit,LiPDOS_032.00_033.00THz,32.5,214,-0.17329556493170414
train,li_shape,limit,LiPDOS_033.00_034.00THz,33.5,214,-0.08502369101883611
train,li_shape,limit,LiPDOS_034.00_035.00THz,34.5,214,-0.01671776581683743
train,li_shape,limit,LiPDOS_035.00_036.00THz,35.5,214,-0.013117975833939003
train,li_shape,limit,LiPDOS_036.00_037.00THz,36.5,214,0.056295368446002934
train,li_shape,limit,LiPDOS_037.00_038.00THz,37.5,214,0.030644008862789594
train,li_shape,limit,LiPDOS_038.00_039.00THz,38.5,214,-0.13714916891192008
train,li_shape,limit,LiPDOS_039.00_040.00THz,39.5,214,-0.11313652464647714
train,li_shape,limit,LiPDOS_040.00_041.00THz,40.5,214,-0.1127787654535748
train,li_shape,limit,LiPDOS_041.00_042.00THz,41.5,214,-0.11288587898438389
train,li_shape,limit,LiPDOS_042.00_043.00THz,42.5,214,-0.11690395607217509
train,li_shape,limit,LiPDOS_043.00_044.00THz,43.5,214,-0.11683840201433716
train,li_shape,limit,LiPDOS_044.00_045.00THz,44.5,214,-0.06176362856507822
train,li_shape,limit,LiPDOS_045.00_046.00THz,45.5,214,-0.08939110708688787
train,li_shape,limit,LiPDOS_046.00_047.00THz,46.5,214,-0.03939951316048853
train,li_shape,limit,LiPDOS_048.00_049.00THz,48.5,214,-0.03939951316048853
train,li_shape,limit,LiPDOS_049.00_050.00THz,49.5,214,-0.10258667805878177
train,li_shape,limit,LiPDOS_050.00_051.00THz,50.5,214,-0.11153062407098518
train,li_shape,limit,LiPDOS_051.00_052.00THz,51.5,214,-0.08798005882994271
train,li_shape,limit,LiPDOS_052.00_053.00THz,52.5,214,-0.0715382454542864
train,li_shape,limit,LiPDOS_053.00_054.00THz,53.5,214,-0.07162646443953473
train,li_shape,limit,LiPDOS_054.00_055.00THz,54.5,214,-0.05715704021873688
train,li_shape,limit,LiPDOS_055.00_056.00THz,55.5,214,-0.05715704021873688
train,li_shape,limit,LiPDOS_056.00_057.00THz,56.5,214,-0.05715704021873688
train,li_shape,limit,LiPDOS_086.00_087.00THz,86.5,214,0.043838894925050616
train,li_shape,limit,LiPDOS_087.00_088.00THz,87.5,214,0.043838894925050616
train,li_shape,limit,LiPDOS_090.00_091.00THz,90.5,214,0.043838894925050616
train,li_shape,limit,LiPDOS_091.00_092.00THz,91.5,214,0.043838894925050616
train,li_shape,half_limit,LiPDOS_000.00_001.00THz,0.5,214,0.4824777971063743
train,li_shape,half_limit,LiPDOS_001.00_002.00THz,1.5,214,0.5826318734867187
train,li_shape,half_limit,LiPDOS_002.00_003.00THz,2.5,214,0.5540278869145272
train,li_shape,half_limit,LiPDOS_003.00_004.00THz,3.5,214,0.4778541138287878
train,li_shape,half_limit,LiPDOS_004.00_005.00THz,4.5,214,0.45471058204414333
train,li_shape,half_limit,LiPDOS_005.00_006.00THz,5.5,214,0.5371092980905126
train,li_shape,half_limit,LiPDOS_006.00_007.00THz,6.5,214,0.44257310715515297
train,li_shape,half_limit,LiPDOS_007.00_008.00THz,7.5,214,0.20345860362139748
train,li_shape,half_limit,LiPDOS_008.00_009.00THz,8.5,214,0.06033392117903137
train,li_shape,half_limit,LiPDOS_009.00_010.00THz,9.5,214,-0.028686683610145283
train,li_shape,half_limit,LiPDOS_010.00_011.00THz,10.5,214,0.05023630655956447
train,li_shape,half_limit,LiPDOS_011.00_012.00THz,11.5,214,-0.15414930520942843
train,li_shape,half_limit,LiPDOS_012.00_013.00THz,12.5,214,-0.24231076307806468
train,li_shape,half_limit,LiPDOS_013.00_014.00THz,13.5,214,-0.21569223094042686
train,li_shape,half_limit,LiPDOS_014.00_015.00THz,14.5,214,-0.41551238730805007
train,li_shape,half_limit,LiPDOS_015.00_016.00THz,15.5,214,-0.3089599543276087
train,li_shape,half_limit,LiPDOS_016.00_017.00THz,16.5,214,-0.17311247416421305
train,li_shape,half_limit,LiPDOS_017.00_018.00THz,17.5,214,-0.2428191596369151
train,li_shape,half_limit,LiPDOS_018.00_019.00THz,18.5,214,-0.41197638947361864
train,li_shape,half_limit,LiPDOS_019.00_020.00THz,19.5,214,-0.29939514958543906
train,li_shape,half_limit,LiPDOS_020.00_021.00THz,20.5,214,-0.37524364285859296
train,li_shape,half_limit,LiPDOS_021.00_022.00THz,21.5,214,-0.3425985976351145
train,li_shape,half_limit,LiPDOS_022.00_023.00THz,22.5,214,-0.37129118976824343
train,li_shape,half_limit,LiPDOS_023.00_024.00THz,23.5,214,-0.42816878823159155
train,li_shape,half_limit,LiPDOS_024.00_025.00THz,24.5,214,-0.43756902076345083
train,li_shape,half_limit,LiPDOS_025.00_026.00THz,25.5,214,-0.2997537844239816
train,li_shape,half_limit,LiPDOS_026.00_027.00THz,26.5,214,-0.3292320719318328
train,li_shape,half_limit,LiPDOS_027.00_028.00THz,27.5,214,-0.2509427090041614
train,li_shape,half_limit,LiPDOS_028.00_029.00THz,28.5,214,-0.22412308367007147
train,li_shape,half_limit,LiPDOS_029.00_030.00THz,29.5,214,-0.1808234698241474
train,li_shape,half_limit,LiPDOS_030.00_031.00THz,30.5,214,-0.14491170044067483
train,li_shape,half_limit,LiPDOS_031.00_032.00THz,31.5,214,-0.2237986209207427
train,li_shape,half_limit,LiPDOS_032.00_033.00THz,32.5,214,-0.17405361126712404
train,li_shape,half_limit,LiPDOS_033.00_034.00THz,33.5,214,-0.08559403085810396
train,li_shape,half_limit,LiPDOS_034.00_035.00THz,34.5,214,-0.017066804306561104
train,li_shape,half_limit,LiPDOS_035.00_036.00THz,35.5,214,-0.013497710793110207
train,li_shape,half_limit,LiPDOS_036.00_037.00THz,36.5,214,0.05606902914577441
train,li_shape,half_limit,LiPDOS_037.00_038.00THz,37.5,214,0.03049586475082952
train,li_shape,half_limit,LiPDOS_038.00_039.00THz,38.5,214,-0.13735115497256425
train,li_shape,half_limit,LiPDOS_039.00_040.00THz,39.5,214,-0.11313839372365467
train,li_shape,half_limit,LiPDOS_040.00_041.00THz,40.5,214,-0.11276566776665418
train,li_shape,half_limit,LiPDOS_041.00_042.00THz,41.5,214,-0.11287491502991295
train,li_shape,half_limit,LiPDOS_042.00_043.00THz,42.5,214,-0.11689716124798301
train,li_shape,half_limit,LiPDOS_043.00_044.00THz,43.5,214,-0.11683395334647911
train,li_shape,half_limit,LiPDOS_044.00_045.00THz,44.5,214,-0.061765824936251525
